ISO3,event date,Renewable_gen_GW,Demand_GW,share of res in demand
ARG,11-03-2021,7.351,18.13606597,0.405324948
AUT,11-02-2015,3.570302083,8.647708333,0.412861066
AUS,21-08-2017,3.511141726,23.72127313,0.14801658
AUS,29-03-2017,3.126857525,22.25864813,0.140478321
AUS,24-12-2018,3.045796811,20.00487625,0.152252719
AUT,16-04-2018,6.575364583,7.22175,0.910494628
ARG,03-07-2021,7.045445833,18.22960417,0.386483753
ARG,27-09-2021,5.5897125,15.14777083,0.369012217
AUT,14-09-2021,4.886208333,7.19390625,0.679214903
AUT,02-04-2019,6.171229167,7.4075625,0.833098495
AUT,13-03-2018,5.116989583,8.017822917,0.638201871
AUS,23-05-2017,3.379017621,21.63534563,0.156180432
AUT,30-04-2019,7.610635417,7.290354167,1.043932194
AUT,28-06-2020,4.523854167,5.348416667,0.845830542
ARG,01-01-2022,4.688986111,16.85085417,0.278264002
AUT,01-01-2021,2.66559375,6.478041667,0.411481415
AUT,23-09-2016,4.72815625,7.006083333,0.674864404
AUT,16-06-2018,6.23740625,5.907614583,1.055824845
AUS,02-05-2021,3.933195007,22.35787921,0.175919861
ARG,16-03-2021,6.465,16.32020486,0.396134733
AUT,16-05-2020,4.93990625,5.599854167,0.882149089
AUS,08-01-2018,3.128911617,23.83232979,0.131288533
AUS,28-01-2015,2.600353132,21.05287438,0.123515349
AUS,30-10-2019,4.026862647,20.92897479,0.192406111
AUS,30-08-2015,2.415497514,20.30791708,0.118943637
AUT,30-07-2018,3.588145833,6.67496875,0.537552454
AUT,28-05-2018,6.627979167,7.172322917,0.924104958
AUT,02-06-2021,6.138416667,6.92946875,0.885842319
ARG,23-08-2021,5.945316667,16.64722917,0.357135509
AUT,01-01-2016,1.892510417,6.337770833,0.298608212
ARG,01-07-2021,7.654747222,20.99052083,0.364676383
AUS,24-11-2017,1.951285902,22.21215271,0.087847672
AUT,12-02-2019,6.098479167,8.7968125,0.693260106
AUT,27-11-2016,4.31690625,6.532458333,0.660839462
AUS,02-11-2016,3.921665256,20.83340917,0.188239247
AUS,06-08-2016,2.685640575,22.29775938,0.120444415
ARG,04-06-2020,8.135,16.7441875,0.485840236
AUS,08-09-2016,3.684712535,21.18161667,0.173958041
AUT,06-09-2021,5.5708125,6.886572917,0.808938287
AUT,14-02-2016,3.26875,6.615114583,0.494133542
AUT,27-11-2019,4.587135417,8.29321875,0.553118826
AUT,24-06-2020,7.37140625,6.744375,1.092970994
AUT,03-06-2020,5.36878125,6.647989583,0.807579672
ARG,14-11-2021,4.947533889,13.73591667,0.360189568
ARG,14-12-2021,5.061126111,16.966125,0.298307723
AUS,25-02-2017,2.291570214,19.77553438,0.115879054
AUT,23-06-2018,5.265010417,5.964947917,0.882658238
ARG,16-08-2020,5.486,14.4340625,0.380073178
AUT,22-08-2015,2.578385417,5.776364583,0.446368192
ARG,29-11-2021,5.2384,15.47239583,0.338564244
AUT,28-10-2020,4.9316875,7.726979167,0.638242629
AUT,16-05-2016,6.608322917,5.534802083,1.193958305
AUT,03-11-2016,4.87690625,7.975052083,0.611520301
AUT,06-04-2015,3.79246875,6.130510417,0.618622022
ARG,13-10-2021,6.809058586,15.38229167,0.442655668
ARG,28-01-2022,4.6444625,15.7765,0.294391183
AUS,20-07-2016,2.902512352,23.12105271,0.125535476
AUS,08-03-2019,2.157644551,22.37265854,0.096441134
AUS,19-06-2017,2.401409188,23.35398083,0.102826546
AUS,04-06-2017,2.264015395,21.31226604,0.106230627
AUT,26-03-2018,3.836604167,8.169916667,0.469601383
AUS,13-04-2021,6.413350823,23.98482056,0.26739207
AUS,06-06-2019,4.617214238,23.81466229,0.193881155
AUT,24-09-2015,4.464354167,5.139052083,0.868711602
AUT,26-06-2019,7.03459375,7.463729167,0.942503887
AUT,20-02-2016,3.18278125,7.15203125,0.445017805
AUT,08-11-2021,3.820729167,7.513447917,0.508518753
AUT,20-10-2021,3.492854167,7.586864583,0.460381773
AUT,28-08-2020,5.860291667,6.824239583,0.858746472
AUT,24-09-2017,5.53415625,5.750510417,0.962376528
AUT,22-11-2016,6.0604375,8.029510417,0.754770489
AUT,13-03-2020,6.20371875,7.75859375,0.799593193
AUT,29-05-2018,6.949333333,7.322520833,0.949035652
AUT,30-04-2015,1.254447917,7.32621875,0.171227199
AUS,07-11-2016,4.306713069,21.42041979,0.201056427
AUT,12-10-2017,5.045260417,7.416,0.680320984
AUS,10-11-2020,5.568223305,23.23029667,0.239696608
AUT,02-11-2020,5.125010417,7.432291667,0.689559916
AUS,28-10-2021,6.631597237,24.03106433,0.275959364
AUS,20-09-2021,6.991468728,23.39494821,0.298845232
AUS,19-10-2019,3.828691189,18.70930563,0.204641009
AUT,25-01-2019,6.24190625,9.066489583,0.688458989
AUS,14-08-2017,3.471573083,21.68308,0.160105164
AUS,13-05-2020,4.103888891,25.73457354,0.159469862
AUS,03-01-2016,2.966210801,18.57957167,0.159649041
AUS,30-05-2020,5.358199977,23.41999813,0.228787379
AUS,09-03-2019,2.115055461,20.83526083,0.10151327
AUT,22-01-2017,2.244364583,7.592020833,0.2956215
AUT,09-08-2018,4.190958333,7.105947917,0.589781741
AUT,26-05-2018,6.210010417,5.96278125,1.041462055
ARG,16-07-2021,6.34882399,18.3210625,0.34653143
AUS,20-09-2020,5.115070208,21.31557583,0.239968662
AUT,11-12-2017,6.526666667,8.569760417,0.761592664
AUT,19-07-2017,5.1969375,7.099854167,0.731978063
