country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
ABW,non-energy,5,0.0,0.0,0.0,0.0,,,,,,
AFG,non-energy,39,0.0,0.0,0.0,2.564102564102564,11.504109589041096,,,18.013698630136986,18.013698630136986,1.6155251141552514
AFG,energy,1,0.0,0.0,0.0,0.0,,,,,,
AGO,non-energy,37,0.0,0.0,0.0,0.0,19.073972602739726,,,,,2.147945205479452
AGO,energy,1,0.0,0.0,0.0,0.0,,,,,,
AIA,non-energy,3,0.0,0.0,0.0,0.0,,3.6684931506849314,,,,
ALA,non-energy,1,0.0,0.0,0.0,0.0,,,,,,
ALB,non-energy,78,0.0,0.0,0.0,0.0,12.093150684931507,,,,,0.7561643835616438
ALB,energy,2,0.0,0.0,0.0,0.0,,14.693150684931506,,,,20.016438356164382
AND,non-energy,16,0.0,0.0,0.0,0.0,,,,,,
ARE,non-energy,4315,0.3939745075318656,0.9038238702201622,1.9235225955967556,3.1286210892236386,5.308836959441311,5.152193766130633,9.59072708113804,11.35164383561644,11.20202345778494,1.4697294615942305
ARE,energy,133,1.5037593984962405,1.5037593984962405,3.7593984962406015,4.511278195488721,,12.288767123287672,2.0164383561643837,19.037181996086105,13.930958904109588,3.0113013698630136
ARG,non-energy,1940,1.134020618556701,1.804123711340206,3.350515463917526,4.7938144329896915,5.2484018264840175,3.6828988068935042,9.419822723609991,11.306937693327441,11.03116752544929,1.3328205349812021
ARG,energy,35,0.0,2.857142857142857,5.714285714285714,17.142857142857142,0.947945205479452,0.5013698630136987,13.49041095890411,14.223287671232876,13.699804305283758,1.0863013698630137
ARM,non-energy,145,1.3793103448275863,2.0689655172413794,2.7586206896551726,4.137931034482759,2.471232876712329,1.0831050228310504,,10.585909980430529,10.585909980430529,0.7937377690802349
ARM,energy,1,0.0,0.0,0.0,0.0,,12.095890410958905,,,,
ASM,non-energy,2,0.0,0.0,0.0,0.0,,,,,,0.1232876712328767
ATG,non-energy,5,0.0,0.0,0.0,20.0,,,,15.221917808219178,15.221917808219178,
AUS,non-energy,19815,2.1397930860459247,3.1541761291950543,5.384809487761796,8.205904617713854,5.853546724535467,9.52512564257201,7.481384095356699,13.487657325637993,10.981535941843676,2.382697638655632
AUS,energy,713,8.55539971949509,11.079943899018232,15.427769985974754,21.31837307152875,7.519006849315068,10.486773736419462,6.105290938796029,14.922855082912761,9.034179752756431,3.3006978547428276
AUT,non-energy,2203,1.0440308669995462,1.9518837948252383,3.994552882433046,7.625964593735815,6.207827788649706,6.491753424657534,14.75630857966835,12.32312476860422,12.537890545920778,2.310176917530919
AUT,energy,93,1.0752688172043012,1.0752688172043012,2.1505376344086025,6.451612903225806,5.767123287671232,10.178386605783865,16.13607305936073,13.931050228310502,14.666057838660578,2.9065269943593877
AZE,non-energy,136,1.4705882352941175,2.2058823529411766,2.2058823529411766,2.2058823529411766,2.095890410958904,4.067318982387476,4.663013698630137,1.5945205479452054,2.617351598173516,0.8102117061021171
AZE,energy,7,0.0,0.0,14.285714285714285,14.285714285714285,,,,7.50958904109589,7.50958904109589,0.4136986301369863
BAH,non-energy,49,0.0,0.0,2.0408163265306123,6.122448979591836,3.164383561643836,21.86849315068493,14.791780821917808,15.42283105022831,15.265068493150686,3.221917808219178
BAH,energy,1,0.0,0.0,0.0,0.0,,,,,,0.12602739726027398
BDI,non-energy,5,0.0,0.0,0.0,0.0,,,,,,
