country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
AFG,energy_and_non_green,1,0.0,0.0,0.0,0.0,,,,,,
AGO,energy_and_non_green,1,0.0,0.0,0.0,0.0,,,,,,
ALB,energy_and_non_green,2,0.0,0.0,0.0,0.0,,14.693150684931506,,,,20.016438356164382
ARE,energy_and_non_green,97,2.0618556701030926,2.0618556701030926,5.154639175257731,5.154639175257731,,17.790410958904108,2.0164383561643837,20.389954337899542,14.26544901065449,0.7321917808219178
ARE,energy_and_green,36,0.0,0.0,0.0,2.7777777777777777,,4.036301369863014,,10.92054794520548,10.92054794520548,5.2904109589041095
ARG,energy_and_non_green,26,0.0,3.8461538461538463,7.6923076923076925,23.076923076923077,,0.5013698630136987,13.49041095890411,14.223287671232876,13.699804305283758,1.2191780821917808
ARG,energy_and_green,9,0.0,0.0,0.0,0.0,0.947945205479452,,,,,0.9534246575342465
ARM,energy_and_non_green,1,0.0,0.0,0.0,0.0,,12.095890410958905,,,,
AUS,energy_and_non_green,463,10.367170626349893,13.606911447084233,17.278617710583152,24.406047516198704,9.684931506849315,10.493717524799244,6.121884396926161,15.16145703611457,9.253435616438356,3.3071102413568165
AUS,energy_and_green,250,5.2,6.4,12.0,15.6,6.5344956413449555,10.479829948039677,6.054895991882294,14.115279241306638,8.33143659992975,3.296489726027397
AUT,energy_and_non_green,54,1.8518518518518516,1.8518518518518516,3.7037037037037033,7.4074074074074066,6.808219178082192,9.92986301369863,16.13607305936073,10.005479452054795,13.070776255707763,2.7942465753424655
AUT,energy_and_green,39,0.0,0.0,0.0,5.128205128205128,5.2465753424657535,10.489041095890412,,17.85662100456621,17.85662100456621,3.06692759295499
AZE,energy_and_non_green,5,0.0,0.0,20.0,20.0,,,,7.50958904109589,7.50958904109589,
AZE,energy_and_green,2,0.0,0.0,0.0,0.0,,,,,,0.4136986301369863
BAH,energy_and_green,1,0.0,0.0,0.0,0.0,,,,,,0.12602739726027398
BEL,energy_and_non_green,161,0.0,0.6211180124223602,4.3478260869565215,5.590062111801243,6.391780821917808,3.591780821917808,6.2164383561643834,15.342465753424657,14.640463645943099,1.7864625302175665
BEL,energy_and_green,93,0.0,0.0,2.1505376344086025,4.301075268817205,6.586799501867995,6.154337899543378,,11.375342465753425,11.375342465753425,2.189041095890411
BEN,energy_and_non_green,1,0.0,0.0,0.0,0.0,,,,,,
BFA,energy_and_non_green,1,0.0,0.0,0.0,0.0,,,,,,
BGD,energy_and_non_green,18,0.0,0.0,0.0,0.0,,,,,,
BGD,energy_and_green,9,0.0,0.0,0.0,0.0,5.512328767123288,,,,,3.7424657534246575
BGR,energy_and_non_green,12,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,,,,0.13972602739726028,0.13972602739726028,
BGR,energy_and_green,7,0.0,0.0,0.0,0.0,2.1041095890410957,5.667123287671233,,,,0.8986301369863013
BIH,energy_and_non_green,7,0.0,0.0,0.0,0.0,,,,,,
BIH,energy_and_green,2,0.0,0.0,0.0,0.0,,,,,,
BLR,energy_and_non_green,2,0.0,0.0,0.0,0.0,,5.413698630136986,,,,1.0
BLR,energy_and_green,1,0.0,0.0,0.0,0.0,,,,,,
BLZ,energy_and_non_green,1,0.0,0.0,0.0,0.0,,,,,,
BMU,energy_and_non_green,9,22.22222222222222,22.22222222222222,44.44444444444444,55.55555555555556,,,6.071917808219178,7.786301369863014,6.414794520547946,
BMU,energy_and_green,1,0.0,0.0,0.0,0.0,2.2794520547945205,,,,,5.813698630136987
BOL,energy_and_non_green,3,0.0,0.0,0.0,0.0,,,,,,0.6657534246575343
