year,country_ISO3,number_of_deals,raised_amount_usd,sector
2010,BEL,2,14102175.17964072,energy_and_non_green
2010,BMU,1,3262598.8023952097,energy_and_green
2010,CAN,4,38189093.964071855,energy_and_non_green
2010,CAN,3,14545160.33532934,energy_and_green
2010,CHE,3,6696734.02994012,energy_and_non_green
2010,CHN,11,123661824.52095808,energy_and_non_green
2010,CHN,8,170781673.04191616,energy_and_green
2010,DEU,2,7329993.233532934,energy_and_non_green
2010,DEU,3,6416090.586826347,energy_and_green
2010,DNK,1,694323.8802395209,energy_and_non_green
2010,ESP,1,526481.1556886227,energy_and_non_green
2010,FIN,1,6081833.6407185625,energy_and_green
2010,FRA,4,18920689.23952096,energy_and_non_green
2010,FRA,2,1776066.7005988024,energy_and_green
2010,GBR,17,55522675.56287426,energy_and_non_green
2010,GBR,7,27346900.36526946,energy_and_green
2010,IND,6,44226197.60479042,energy_and_green
2010,IRL,1,1036940.1197604791,energy_and_green
2010,ISR,1,19131736.52694611,energy_and_non_green
2010,ISR,3,44002994.01197605,energy_and_green
2010,ITA,1,5080593.341317365,energy_and_green
2010,JPN,2,442344.880239521,energy_and_non_green
2010,KEN,1,7014970.05988024,energy_and_non_green
2010,NOR,3,69697789.8502994,energy_and_green
2010,PRT,1,585593.1197604791,energy_and_green
2010,RUS,1,2550898.2035928145,energy_and_non_green
2010,SGP,1,1133735.2275449103,energy_and_non_green
2010,SWE,2,8290419.161676647,energy_and_green
2010,TUR,2,1185133.2754491018,energy_and_non_green
2010,UKR,1,127544.91017964072,energy_and_green
2010,USA,127,1596508124.0479043,energy_and_non_green
2010,USA,163,3751975560.8802395,energy_and_green
2011,AUS,1,1507399.761627907,energy_and_non_green
2011,AUS,1,11145348.837209303,energy_and_green
2011,AUT,1,1282482.9069767443,energy_and_green
2011,BEL,1,33436046.51162791,energy_and_green
2011,BMU,1,1486046.511627907,energy_and_green
2011,BRA,1,19448630.005813953,energy_and_green
2011,CAN,9,113569175.26744185,energy_and_non_green
2011,CAN,9,87333258.15697674,energy_and_green
2011,CHE,4,327388.43023255817,energy_and_non_green
2011,CHE,1,15105.662790697674,energy_and_green
2011,CHL,1,49534.88372093023,energy_and_green
2011,CHN,8,20513974.273255814,energy_and_non_green
2011,CHN,3,40356337.255813956,energy_and_green
2011,DEU,2,21491894.424418606,energy_and_non_green
2011,DEU,4,26660429.825581394,energy_and_green
2011,ESP,1,67083.8546511628,energy_and_non_green
2011,ESP,1,516828.4011627907,energy_and_green
2011,ETH,1,309593.023255814,energy_and_green
2011,FIN,1,569651.1627906977,energy_and_non_green
2011,FRA,1,2564402.354651163,energy_and_green
2011,GBR,19,82573466.04069768,energy_and_non_green
2011,GBR,7,33097622.947674416,energy_and_green
2011,HKG,1,74302.32558139534,energy_and_green
2011,IND,2,16965697.674418602,energy_and_green
2011,IRL,2,1428105.558139535,energy_and_green
2011,ISR,1,423523.25581395347,energy_and_non_green
2011,ISR,3,17337209.302325584,energy_and_green
2011,ITA,2,442189.23837209307,energy_and_non_green
2011,JPN,1,3563750.0581395347,energy_and_green
2011,KEN,1,123837.20930232559,energy_and_green
2011,NLD,1,2674701.680232558,energy_and_green
2011,NOR,2,58203488.37209302,energy_and_green
2011,PRT,1,664342.046511628,energy_and_green
2011,SVK,2,297807.43604651163,energy_and_green
2011,SWE,2,3203838.261627907,energy_and_non_green
2011,SWE,1,7826002.6569767445,energy_and_green
2011,TWN,1,61918604.65116279,energy_and_green
2011,USA,123,1669913171.6162791,energy_and_non_green
2011,USA,180,4599515749.936047,energy_and_green
2012,AUS,2,2698806.8181818184,energy_and_non_green
2012,AUS,1,544602.2727272727,energy_and_green
2012,AUT,1,78679.29545454546,energy_and_non_green
2012,BLR,1,491352.2727272727,energy_and_non_green
2012,BMU,1,424789.7727272727,energy_and_green
2012,BRA,1,605113.6363636364,energy_and_non_green
2012,CAN,7,46943604.92045454,energy_and_non_green
2012,CAN,8,35362470.57954545,energy_and_green
2012,CHE,4,15417531.801136363,energy_and_non_green
2012,CHE,3,276207.75,energy_and_green
2012,CHL,2,96818.18181818181,energy_and_non_green
