year,country_ISO3,number_of_companies,sector
1980.0,ARE,17,non-energy
1980.0,ARE,1,energy
1980.0,ARG,8,non-energy
1980.0,AUS,126,non-energy
1980.0,AUS,7,energy
1980.0,AUT,5,non-energy
1980.0,BEL,26,non-energy
1980.0,BEL,3,energy
1980.0,BGD,6,non-energy
1980.0,BGR,2,non-energy
1980.0,BGR,1,energy
1980.0,BHR,4,non-energy
1980.0,BLZ,1,non-energy
1980.0,BMU,3,non-energy
1980.0,BRA,39,non-energy
1980.0,BRA,5,energy
1980.0,BWA,1,non-energy
1980.0,CAN,258,non-energy
1980.0,CAN,23,energy
1980.0,CHE,93,non-energy
1980.0,CHE,10,energy
1980.0,CHL,10,non-energy
1980.0,CHN,36,non-energy
1980.0,CHN,4,energy
1980.0,CMR,1,non-energy
1980.0,COL,9,non-energy
1980.0,CRI,1,non-energy
1980.0,CYM,1,energy
1980.0,CYP,3,non-energy
1980.0,CZE,1,non-energy
1980.0,DEU,242,non-energy
1980.0,DEU,15,energy
1980.0,DNK,37,non-energy
1980.0,DNK,3,energy
1980.0,DOM,1,non-energy
1980.0,ECU,1,non-energy
1980.0,EGY,6,non-energy
1980.0,ESP,90,non-energy
1980.0,ESP,6,energy
1980.0,FIN,10,non-energy
1980.0,FRA,143,non-energy
1980.0,FRA,5,energy
1980.0,GBR,380,non-energy
1980.0,GBR,10,energy
1980.0,GRC,17,non-energy
1980.0,GRC,3,energy
1980.0,HKG,24,non-energy
1980.0,HND,1,non-energy
1980.0,HUN,1,non-energy
1980.0,IDN,18,non-energy
1980.0,IDN,2,energy
1980.0,IND,159,non-energy
1980.0,IND,8,energy
1980.0,IRL,18,non-energy
1980.0,IRN,1,non-energy
1980.0,ISL,1,non-energy
1980.0,ISR,25,non-energy
1980.0,ISR,1,energy
1980.0,ITA,103,non-energy
1980.0,ITA,5,energy
1980.0,JOR,5,non-energy
1980.0,JPN,231,non-energy
1980.0,JPN,6,energy
1980.0,KHM,1,non-energy
1980.0,KOR,39,non-energy
1980.0,KOR,2,energy
1980.0,KWT,6,non-energy
1980.0,KWT,1,energy
1980.0,LBN,2,non-energy
1980.0,LKA,7,non-energy
1980.0,LTU,1,energy
1980.0,LUX,1,non-energy
1980.0,MAC,2,non-energy
1980.0,MAR,4,non-energy
1980.0,MEX,22,non-energy
