year,country_ISO3,number_of_companies,sector
1980.0,MRT,1,energy
1980.0,MWI,1,non-energy
1980.0,MYS,22,non-energy
1980.0,MYS,1,energy
1980.0,NAM,1,non-energy
1980.0,NGA,2,non-energy
1980.0,NLD,75,non-energy
1980.0,NOR,11,non-energy
1980.0,NOR,1,energy
1980.0,NZL,20,non-energy
1980.0,NZL,2,energy
1980.0,OMN,1,non-energy
1980.0,PAK,10,non-energy
1980.0,PAN,3,non-energy
1980.0,PER,4,non-energy
1980.0,PHL,5,non-energy
1980.0,PHL,2,energy
1980.0,POL,3,non-energy
1980.0,PRT,14,non-energy
1980.0,PRT,2,energy
1980.0,PRY,1,non-energy
1980.0,QAT,2,non-energy
1980.0,ROM,1,non-energy
1980.0,RUS,4,non-energy
1980.0,RUS,1,energy
1980.0,SAU,14,non-energy
1980.0,SAU,1,energy
1980.0,SGP,28,non-energy
1980.0,SGP,1,energy
1980.0,SVK,1,non-energy
1980.0,SVN,2,non-energy
1980.0,SWE,52,non-energy
1980.0,SWE,7,energy
1980.0,THA,13,non-energy
1980.0,THA,1,energy
1980.0,TTO,1,non-energy
1980.0,TUN,5,non-energy
1980.0,TUR,16,non-energy
1980.0,TUR,2,energy
1980.0,TWN,38,non-energy
1980.0,UKR,1,non-energy
1980.0,USA,3120,non-energy
1980.0,USA,128,energy
1980.0,VEN,2,non-energy
1980.0,VNM,6,non-energy
1980.0,VNM,2,energy
1980.0,ZAF,20,non-energy
1980.0,ZAF,2,energy
1980.0,ZWE,1,non-energy
1981.0,ARE,10,non-energy
1981.0,ARE,4,energy
1981.0,ARG,5,non-energy
1981.0,ARG,1,energy
1981.0,AUS,126,non-energy
1981.0,AUS,5,energy
1981.0,AUT,11,non-energy
1981.0,BEL,22,non-energy
1981.0,BGD,6,non-energy
1981.0,BGR,1,non-energy
1981.0,BHR,3,non-energy
1981.0,BIH,1,energy
1981.0,BOL,3,non-energy
1981.0,BRA,39,non-energy
1981.0,BRA,1,energy
1981.0,CAN,230,non-energy
1981.0,CAN,20,energy
1981.0,CHE,77,non-energy
1981.0,CHE,8,energy
1981.0,CHL,8,non-energy
1981.0,CHL,2,energy
1981.0,CHN,26,non-energy
1981.0,CHN,1,energy
1981.0,COL,5,non-energy
1981.0,CRI,1,non-energy
1981.0,CYM,1,non-energy
1981.0,CYP,3,non-energy
1981.0,CZE,2,non-energy
1981.0,DEU,189,non-energy
1981.0,DEU,8,energy
1981.0,DNK,44,non-energy
1981.0,DNK,2,energy
1981.0,EGY,5,non-energy
1981.0,EGY,1,energy
1981.0,ESP,68,non-energy
1981.0,ESP,8,energy
1981.0,EST,1,non-energy
1981.0,FIN,16,non-energy
1981.0,FRA,201,non-energy
1981.0,FRA,6,energy
1981.0,GBR,362,non-energy
1981.0,GBR,10,energy
1981.0,GRC,12,non-energy
1981.0,GRC,1,energy
1981.0,HKG,26,non-energy
1981.0,HKG,2,energy
1981.0,IDN,21,non-energy
1981.0,IDN,2,energy
1981.0,IMN,2,non-energy
1981.0,IND,153,non-energy
1981.0,IND,5,energy
1981.0,IRL,17,non-energy
1981.0,IRL,2,energy
1981.0,IRN,1,non-energy
1981.0,ISR,16,non-energy
1981.0,ITA,85,non-energy
1981.0,ITA,2,energy
1981.0,JAM,3,non-energy
1981.0,JEY,1,non-energy
1981.0,JPN,237,non-energy
1981.0,JPN,2,energy
1981.0,KEN,1,non-energy
1981.0,KOR,38,non-energy
1981.0,KOR,1,energy
1981.0,KWT,5,non-energy
1981.0,LBN,1,non-energy
1981.0,LKA,8,non-energy
1981.0,LUX,1,non-energy
1981.0,MAR,2,non-energy
1981.0,MEX,12,non-energy
1981.0,MLT,2,non-energy
1981.0,MYS,15,non-energy
1981.0,MYS,1,energy
1981.0,NGA,5,non-energy
1981.0,NLD,79,non-energy
1981.0,NLD,4,energy
1981.0,NOR,11,non-energy
1981.0,NOR,4,energy
1981.0,NZL,16,non-energy
1981.0,NZL,1,energy
1981.0,OMN,3,non-energy
1981.0,PAK,9,non-energy
1981.0,PER,6,non-energy
1981.0,PHL,5,non-energy
1981.0,PNG,1,non-energy
1981.0,POL,4,non-energy
1981.0,PRI,2,non-energy
1981.0,PRT,20,non-energy
1981.0,PRT,1,energy
1981.0,RUS,1,non-energy
1981.0,RWA,1,non-energy
1981.0,SAU,7,non-energy
1981.0,SGP,22,non-energy
1981.0,SGP,1,energy
1981.0,SLV,1,non-energy
1981.0,SRB,1,non-energy
1981.0,SWE,60,non-energy
1981.0,SWE,3,energy
1981.0,THA,10,non-energy
1981.0,THA,2,energy
1981.0,TTO,2,non-energy
1981.0,TUN,4,non-energy
1981.0,TUR,15,non-energy
1981.0,TWN,30,non-energy
1981.0,TWN,2,energy
1981.0,UKR,1,non-energy
1981.0,USA,3092,non-energy
1981.0,USA,99,energy
1981.0,VNM,4,non-energy
1981.0,ZAF,18,non-energy
1981.0,ZAF,2,energy
1981.0,ZMB,2,non-energy
1982.0,AND,1,non-energy
1982.0,ARE,21,non-energy
1982.0,ARE,1,energy
1982.0,ARG,9,non-energy
1982.0,AUS,134,non-energy
1982.0,AUS,4,energy
1982.0,AUT,14,non-energy
1982.0,BEL,39,non-energy
1982.0,BEL,2,energy
1982.0,BGD,3,non-energy
1982.0,BHR,1,non-energy
1982.0,BIH,1,energy
1982.0,BLZ,1,non-energy
1982.0,BMU,1,non-energy
1982.0,BRA,42,non-energy
1982.0,BWA,1,non-energy
1982.0,CAN,223,non-energy
1982.0,CAN,19,energy
1982.0,CHE,86,non-energy
1982.0,CHE,7,energy
1982.0,CHL,5,non-energy
1982.0,CHN,21,non-energy
1982.0,CHN,4,energy
1982.0,COL,10,non-energy
1982.0,CRI,1,non-energy
1982.0,CYP,3,non-energy
1982.0,CZE,1,non-energy
1982.0,DEU,236,non-energy
1982.0,DEU,13,energy
1982.0,DNK,24,non-energy
1982.0,DNK,3,energy
1982.0,DOM,3,non-energy
1982.0,DZA,1,non-energy
1982.0,ECU,1,non-energy
1982.0,EGY,2,non-energy
1982.0,ESP,105,non-energy
1982.0,ESP,6,energy
1982.0,FIN,20,non-energy
1982.0,FRA,179,non-energy
1982.0,FRA,6,energy
1982.0,GBR,461,non-energy
1982.0,GBR,15,energy
1982.0,GRC,13,non-energy
1982.0,GRC,5,energy
1982.0,HKG,27,non-energy
1982.0,HKG,2,energy
1982.0,HRV,2,non-energy
1982.0,HUN,5,non-energy
1982.0,IDN,25,non-energy
1982.0,IND,160,non-energy
1982.0,IND,8,energy
1982.0,IRL,19,non-energy
1982.0,IRL,2,energy
1982.0,IRN,1,non-energy
1982.0,ISL,1,non-energy
1982.0,ISR,35,non-energy
1982.0,ITA,79,non-energy
1982.0,ITA,8,energy
1982.0,JEY,1,non-energy
1982.0,JOR,5,non-energy
1982.0,JPN,285,non-energy
1982.0,JPN,5,energy
1982.0,KEN,3,non-energy
1982.0,KNA,1,non-energy
1982.0,KOR,40,non-energy
1982.0,KOR,4,energy
1982.0,KWT,7,non-energy
1982.0,LBN,1,non-energy
1982.0,LKA,6,non-energy
1982.0,LUX,3,non-energy
1982.0,MAR,1,non-energy
1982.0,MDV,1,non-energy
1982.0,MEX,10,non-energy
1982.0,MLT,1,non-energy
1982.0,MYS,15,non-energy
1982.0,MYS,1,energy
1982.0,NAM,1,non-energy
1982.0,NGA,4,non-energy
1982.0,NGA,1,energy
1982.0,NLD,82,non-energy
1982.0,NLD,2,energy
1982.0,NOR,17,non-energy
1982.0,NOR,2,energy
1982.0,NPL,1,non-energy
1982.0,NZL,17,non-energy
1982.0,NZL,1,energy
1982.0,OMN,2,non-energy
1982.0,PAK,14,non-energy
1982.0,PAN,2,non-energy
1982.0,PER,1,non-energy
1982.0,PHL,9,non-energy
1982.0,POL,5,non-energy
1982.0,POL,1,energy
1982.0,PRI,1,non-energy
1982.0,PRT,21,non-energy
1982.0,PRT,3,energy
1982.0,QAT,3,non-energy
1982.0,RUS,2,non-energy
1982.0,SAU,9,non-energy
1982.0,SEN,2,non-energy
1982.0,SGP,18,non-energy
1982.0,SGP,1,energy
1982.0,SRB,2,non-energy
1982.0,SWE,60,non-energy
1982.0,SWE,6,energy
1982.0,THA,21,non-energy
1982.0,THA,1,energy
1982.0,TTO,2,non-energy
1982.0,TUN,1,non-energy
1982.0,TUR,15,non-energy
1982.0,TUR,2,energy
1982.0,TWN,32,non-energy
1982.0,TWN,2,energy
1982.0,UKR,1,energy
1982.0,USA,3341,non-energy
1982.0,USA,123,energy
1982.0,VEN,1,non-energy
1982.0,VNM,12,non-energy
1982.0,ZAF,26,non-energy
1982.0,ZMB,1,non-energy
1983.0,ARE,13,non-energy
1983.0,ARG,7,non-energy
1983.0,ARM,1,non-energy
1983.0,AUS,131,non-energy
1983.0,AUS,3,energy
1983.0,AUT,16,non-energy
1983.0,BEL,48,non-energy
1983.0,BEL,4,energy
1983.0,BGD,8,non-energy
1983.0,BGR,1,non-energy
1983.0,BHR,1,non-energy
1983.0,BMU,1,non-energy
1983.0,BRA,54,non-energy
1983.0,BRB,1,non-energy
1983.0,BWA,1,non-energy
1983.0,CAN,291,non-energy
1983.0,CAN,24,energy
1983.0,CHE,67,non-energy
1983.0,CHE,8,energy
1983.0,CHL,5,non-energy
1983.0,CHN,36,non-energy
1983.0,CHN,2,energy
1983.0,CIV,1,energy
1983.0,COL,7,non-energy
1983.0,CRI,1,non-energy
1983.0,CYP,3,non-energy
1983.0,CZE,3,non-energy
1983.0,DEU,244,non-energy
1983.0,DEU,4,energy
1983.0,DNK,22,non-energy
1983.0,DNK,1,energy
1983.0,DOM,5,non-energy
1983.0,EGY,7,non-energy
1983.0,EGY,1,energy
1983.0,ESP,76,non-energy
1983.0,ESP,4,energy
1983.0,FIN,18,non-energy
1983.0,FRA,184,non-energy
1983.0,FRA,3,energy
1983.0,GBR,494,non-energy
1983.0,GBR,28,energy
1983.0,GRC,12,non-energy
1983.0,GRC,1,energy
1983.0,GTM,1,non-energy
1983.0,HKG,37,non-energy
1983.0,HKG,1,energy
1983.0,HND,1,non-energy
1983.0,HRV,1,non-energy
1983.0,HUN,4,non-energy
1983.0,IDN,33,non-energy
1983.0,IDN,2,energy
1983.0,IND,192,non-energy
1983.0,IND,10,energy
1983.0,IRL,26,non-energy
1983.0,IRQ,1,non-energy
1983.0,ISL,3,non-energy
1983.0,ISR,30,non-energy
1983.0,ISR,1,energy
1983.0,ITA,100,non-energy
1983.0,ITA,6,energy
1983.0,JOR,2,non-energy
1983.0,JPN,318,non-energy
1983.0,JPN,4,energy
1983.0,KAZ,1,non-energy
1983.0,KEN,2,non-energy
1983.0,KEN,1,energy
1983.0,KNA,1,non-energy
1983.0,KOR,46,non-energy
1983.0,KOR,4,energy
1983.0,KWT,3,non-energy
1983.0,KWT,1,energy
1983.0,LKA,5,non-energy
1983.0,LUX,2,non-energy
1983.0,LVA,1,non-energy
1983.0,MAR,2,non-energy
1983.0,MEX,10,non-energy
1983.0,MLT,1,energy
1983.0,MUS,1,non-energy
1983.0,MYS,23,non-energy
1983.0,NGA,5,non-energy
1983.0,NGA,1,energy
1983.0,NLD,98,non-energy
1983.0,NLD,2,energy
1983.0,NOR,22,non-energy
1983.0,NOR,1,energy
1983.0,NZL,24,non-energy
1983.0,NZL,2,energy
1983.0,OMN,3,non-energy
1983.0,OMN,1,energy
1983.0,PAK,7,non-energy
1983.0,PAK,2,energy
1983.0,PER,3,non-energy
1983.0,PER,2,energy
1983.0,PHL,8,non-energy
1983.0,POL,9,non-energy
1983.0,PRI,4,non-energy
1983.0,PRT,10,non-energy
1983.0,PRT,2,energy
1983.0,QAT,2,non-energy
1983.0,ROM,3,non-energy
1983.0,ROM,1,energy
1983.0,RUS,1,non-energy
1983.0,SAU,9,non-energy
1983.0,SAU,1,energy
1983.0,SGP,27,non-energy
1983.0,SGP,4,energy
1983.0,SVK,2,non-energy
1983.0,SVK,1,energy
1983.0,SWE,75,non-energy
1983.0,SWE,6,energy
1983.0,THA,22,non-energy
1983.0,THA,3,energy
1983.0,TTO,5,non-energy
1983.0,TTO,1,energy
1983.0,TUN,2,non-energy
1983.0,TUR,16,non-energy
1983.0,TUR,1,energy
1983.0,TWN,38,non-energy
1983.0,TWN,3,energy
1983.0,URY,2,non-energy
1983.0,USA,3715,non-energy
1983.0,USA,120,energy
1983.0,VNM,4,non-energy
1983.0,ZAF,28,non-energy
1983.0,ZWE,1,non-energy
1984.0,ARE,12,non-energy
1984.0,ARE,4,energy
1984.0,ARG,6,non-energy
1984.0,ARG,1,energy
1984.0,AUS,154,non-energy
1984.0,AUS,9,energy
1984.0,AUT,15,non-energy
1984.0,AUT,1,energy
1984.0,BEL,37,non-energy
1984.0,BEL,2,energy
1984.0,BGD,5,non-energy
1984.0,BGD,1,energy
1984.0,BHR,1,non-energy
1984.0,BIH,1,non-energy
1984.0,BOL,1,non-energy
1984.0,BRA,46,non-energy
1984.0,BRA,2,energy
1984.0,CAN,286,non-energy
1984.0,CAN,16,energy
1984.0,CHE,91,non-energy
1984.0,CHE,7,energy
1984.0,CHL,4,non-energy
1984.0,CHN,85,non-energy
1984.0,CHN,7,energy
1984.0,CIV,1,non-energy
1984.0,COL,2,non-energy
1984.0,COL,1,energy
1984.0,CRI,3,non-energy
1984.0,CZE,1,non-energy
1984.0,DEU,282,non-energy
1984.0,DEU,25,energy
1984.0,DNK,41,non-energy
1984.0,ECU,4,non-energy
1984.0,EGY,7,non-energy
1984.0,ESP,113,non-energy
1984.0,ESP,10,energy
1984.0,FIN,35,non-energy
1984.0,FJI,1,non-energy
1984.0,FRA,202,non-energy
1984.0,FRA,3,energy
1984.0,GBR,543,non-energy
1984.0,GBR,15,energy
1984.0,GHA,1,non-energy
1984.0,GRC,14,non-energy
1984.0,GRC,5,energy
1984.0,HKG,23,non-energy
1984.0,HKG,2,energy
1984.0,HRV,2,non-energy
1984.0,HUN,4,non-energy
1984.0,IDN,9,non-energy
1984.0,IDN,2,energy
1984.0,IMN,1,non-energy
1984.0,IND,214,non-energy
1984.0,IND,6,energy
1984.0,IRL,30,non-energy
1984.0,IRL,1,energy
1984.0,ISL,3,non-energy
1984.0,ISR,31,non-energy
1984.0,ISR,1,energy
1984.0,ITA,115,non-energy
1984.0,ITA,3,energy
1984.0,JEY,1,non-energy
1984.0,JPN,357,non-energy
1984.0,JPN,8,energy
1984.0,KEN,6,non-energy
1984.0,KOR,54,non-energy
1984.0,KOR,4,energy
1984.0,KWT,1,non-energy
1984.0,LBN,1,non-energy
1984.0,LKA,4,non-energy
1984.0,LUX,3,non-energy
1984.0,LUX,1,energy
1984.0,MEX,17,non-energy
1984.0,MLT,1,non-energy
1984.0,MNG,1,non-energy
1984.0,MUS,1,non-energy
1984.0,MYS,28,non-energy
1984.0,MYS,5,energy
1984.0,NGA,5,non-energy
1984.0,NLD,114,non-energy
1984.0,NLD,4,energy
1984.0,NOR,38,non-energy
1984.0,NOR,2,energy
1984.0,NPL,1,non-energy
1984.0,NZL,29,non-energy
1984.0,OMN,4,non-energy
1984.0,PAK,10,non-energy
1984.0,PAN,3,non-energy
1984.0,PER,4,non-energy
1984.0,PER,1,energy
1984.0,PHL,9,non-energy
1984.0,POL,7,non-energy
1984.0,PRT,26,non-energy
1984.0,PRT,5,energy
1984.0,QAT,1,non-energy
1984.0,QAT,1,energy
1984.0,RUS,2,non-energy
1984.0,SAU,9,non-energy
1984.0,SGP,22,non-energy
1984.0,SRB,2,non-energy
1984.0,SWE,85,non-energy
1984.0,SWE,7,energy
1984.0,TAN,3,non-energy
1984.0,THA,11,non-energy
1984.0,THA,3,energy
1984.0,TTO,1,non-energy
1984.0,TUN,4,non-energy
1984.0,TUR,21,non-energy
1984.0,TUR,1,energy
1984.0,TWN,29,non-energy
1984.0,TWN,1,energy
1984.0,UGA,1,non-energy
1984.0,UKR,1,non-energy
1984.0,UKR,1,energy
1984.0,USA,3920,non-energy
1984.0,USA,135,energy
1984.0,VEN,1,non-energy
1984.0,VNM,6,non-energy
1984.0,ZAF,17,non-energy
1984.0,ZAF,1,energy
1985.0,ARE,19,non-energy
1985.0,ARE,2,energy
1985.0,ARG,15,non-energy
1985.0,AUS,195,non-energy
1985.0,AUS,4,energy
1985.0,AUT,14,non-energy
1985.0,BEL,57,non-energy
1985.0,BEL,3,energy
1985.0,BGD,11,non-energy
1985.0,BHR,2,non-energy
1985.0,BMU,1,non-energy
1985.0,BMU,1,energy
1985.0,BOL,2,non-energy
1985.0,BOL,1,energy
1985.0,BRA,64,non-energy
1985.0,BRA,2,energy
1985.0,CAN,304,non-energy
1985.0,CAN,28,energy
1985.0,CHE,112,non-energy
1985.0,CHE,10,energy
1985.0,CHL,5,non-energy
1985.0,CHL,1,energy
1985.0,CHN,85,non-energy
1985.0,CHN,7,energy
1985.0,CMR,1,non-energy
1985.0,COL,7,non-energy
1985.0,CRI,3,non-energy
1985.0,CYM,2,non-energy
1985.0,CYP,1,non-energy
1985.0,CZE,3,non-energy
1985.0,DEU,326,non-energy
1985.0,DEU,13,energy
1985.0,DNK,47,non-energy
1985.0,DNK,2,energy
1985.0,DOM,2,non-energy
1985.0,ECU,1,non-energy
1985.0,EGY,9,non-energy
1985.0,ESP,167,non-energy
1985.0,ESP,10,energy
1985.0,FIN,43,non-energy
1985.0,FIN,1,energy
1985.0,FRA,311,non-energy
1985.0,FRA,7,energy
1985.0,GBR,570,non-energy
1985.0,GBR,28,energy
1985.0,GGY,1,non-energy
1985.0,GRC,18,non-energy
1985.0,GRC,2,energy
1985.0,HKG,35,non-energy
1985.0,HKG,1,energy
1985.0,HND,1,non-energy
1985.0,HUN,4,non-energy
1985.0,IDN,18,non-energy
1985.0,IDN,1,energy
1985.0,IND,289,non-energy
1985.0,IND,20,energy
1985.0,IRL,32,non-energy
1985.0,IRL,1,energy
1985.0,ISL,5,non-energy
1985.0,ISR,32,non-energy
1985.0,ISR,2,energy
1985.0,ITA,124,non-energy
1985.0,ITA,4,energy
1985.0,JAM,1,non-energy
1985.0,JEY,3,non-energy
1985.0,JEY,1,energy
1985.0,JOR,1,non-energy
1985.0,JOR,1,energy
1985.0,JPN,364,non-energy
1985.0,JPN,3,energy
1985.0,KEN,1,non-energy
1985.0,KEN,1,energy
1985.0,KNA,1,non-energy
1985.0,KOR,57,non-energy
1985.0,KOR,6,energy
1985.0,KWT,1,non-energy
1985.0,LBY,1,non-energy
1985.0,LKA,3,non-energy
1985.0,LTU,1,non-energy
1985.0,LUX,5,non-energy
1985.0,MAR,5,non-energy
1985.0,MEX,15,non-energy
1985.0,MKD,1,non-energy
1985.0,MUS,2,non-energy
1985.0,MUS,1,energy
1985.0,MYS,23,non-energy
1985.0,MYS,1,energy
1985.0,NGA,4,non-energy
1985.0,NGA,1,energy
1985.0,NLD,104,non-energy
1985.0,NLD,2,energy
1985.0,NOR,45,non-energy
1985.0,NOR,3,energy
1985.0,NPL,1,non-energy
1985.0,NZL,29,non-energy
1985.0,OMN,4,non-energy
1985.0,PAK,9,non-energy
1985.0,PAK,1,energy
1985.0,PER,3,non-energy
1985.0,PER,1,energy
1985.0,PHL,15,non-energy
1985.0,PHL,1,energy
1985.0,PNG,1,non-energy
1985.0,POL,10,non-energy
1985.0,PRI,2,non-energy
1985.0,PRT,13,non-energy
1985.0,PRT,1,energy
1985.0,PRY,1,non-energy
1985.0,QAT,2,non-energy
1985.0,RUS,3,non-energy
1985.0,SAU,6,non-energy
1985.0,SEN,1,non-energy
1985.0,SGP,28,non-energy
1985.0,SGP,1,energy
1985.0,SVK,2,non-energy
1985.0,SVN,3,non-energy
1985.0,SVN,1,energy
1985.0,SWE,92,non-energy
1985.0,SWE,2,energy
1985.0,TGO,1,non-energy
1985.0,THA,18,non-energy
1985.0,THA,2,energy
1985.0,TTO,6,non-energy
1985.0,TUN,4,non-energy
1985.0,TUR,18,non-energy
1985.0,TUR,3,energy
1985.0,TWN,22,non-energy
1985.0,UKR,1,non-energy
1985.0,USA,4203,non-energy
1985.0,USA,166,energy
1985.0,VEN,2,non-energy
1985.0,VNM,4,non-energy
1985.0,VNM,1,energy
1985.0,ZAF,32,non-energy
1985.0,ZWE,1,energy
1986.0,ABW,1,non-energy
1986.0,ARE,9,non-energy
1986.0,ARG,11,non-energy
1986.0,ARG,2,energy
1986.0,AUS,179,non-energy
1986.0,AUS,8,energy
1986.0,AUT,15,non-energy
1986.0,AUT,2,energy
1986.0,BEL,67,non-energy
1986.0,BEL,5,energy
1986.0,BGD,7,non-energy
1986.0,BGD,1,energy
1986.0,BGR,2,non-energy
1986.0,BMU,3,non-energy
1986.0,BMU,1,energy
1986.0,BRA,69,non-energy
1986.0,BRA,1,energy
1986.0,BRB,2,non-energy
1986.0,BWA,1,non-energy
1986.0,CAN,335,non-energy
1986.0,CAN,28,energy
1986.0,CHE,126,non-energy
1986.0,CHE,9,energy
1986.0,CHL,3,non-energy
1986.0,CHL,1,energy
1986.0,CHN,72,non-energy
1986.0,CHN,7,energy
1986.0,CIV,1,non-energy
1986.0,COL,6,non-energy
1986.0,CRI,1,non-energy
1986.0,CYP,1,energy
1986.0,DEU,351,non-energy
1986.0,DEU,10,energy
1986.0,DNK,58,non-energy
1986.0,DNK,6,energy
1986.0,DOM,1,non-energy
1986.0,ECU,1,non-energy
1986.0,EGY,7,non-energy
1986.0,EGY,1,energy
1986.0,ESP,168,non-energy
1986.0,ESP,10,energy
1986.0,FIN,44,non-energy
1986.0,FIN,1,energy
1986.0,FRA,384,non-energy
1986.0,FRA,9,energy
1986.0,GBR,606,non-energy
1986.0,GBR,19,energy
1986.0,GHA,3,non-energy
1986.0,GIB,1,non-energy
1986.0,GRC,23,non-energy
1986.0,GRC,1,energy
1986.0,HKG,37,non-energy
1986.0,HKG,1,energy
1986.0,HRV,5,non-energy
1986.0,HTI,2,non-energy
1986.0,HUN,10,non-energy
1986.0,IDN,11,non-energy
1986.0,IMN,2,non-energy
1986.0,IND,233,non-energy
1986.0,IND,11,energy
1986.0,IRL,28,non-energy
1986.0,ISL,3,non-energy
1986.0,ISR,33,non-energy
1986.0,ISR,1,energy
1986.0,ITA,129,non-energy
1986.0,ITA,11,energy
1986.0,JAM,1,non-energy
1986.0,JOR,1,non-energy
1986.0,JPN,403,non-energy
1986.0,JPN,8,energy
1986.0,KEN,2,non-energy
1986.0,KOR,52,non-energy
1986.0,KOR,3,energy
1986.0,KWT,1,non-energy
1986.0,LBN,1,non-energy
1986.0,LKA,5,non-energy
1986.0,LUX,7,non-energy
1986.0,MAR,2,non-energy
1986.0,MEX,21,non-energy
1986.0,MEX,1,energy
1986.0,MLT,1,non-energy
1986.0,MUS,1,non-energy
1986.0,MYS,15,non-energy
1986.0,MYS,1,energy
1986.0,NGA,1,non-energy
1986.0,NGA,2,energy
1986.0,NLD,122,non-energy
1986.0,NLD,3,energy
1986.0,NOR,34,non-energy
1986.0,NOR,5,energy
1986.0,NZL,37,non-energy
1986.0,NZL,4,energy
1986.0,OMN,1,energy
1986.0,PAK,10,non-energy
1986.0,PAK,1,energy
1986.0,PAN,2,non-energy
1986.0,PER,4,non-energy
1986.0,PER,1,energy
1986.0,PHL,16,non-energy
1986.0,POL,15,non-energy
1986.0,PRI,5,non-energy
1986.0,PRT,26,non-energy
1986.0,ROM,1,non-energy
1986.0,SAU,8,non-energy
1986.0,SEN,1,non-energy
1986.0,SGP,21,non-energy
1986.0,SGP,3,energy
1986.0,SVK,2,non-energy
1986.0,SVN,2,non-energy
1986.0,SWE,98,non-energy
1986.0,SWE,8,energy
1986.0,TAN,2,non-energy
1986.0,THA,14,non-energy
1986.0,THA,2,energy
1986.0,TUR,20,non-energy
1986.0,TUR,1,energy
1986.0,TWN,46,non-energy
1986.0,TWN,1,energy
1986.0,UGA,2,non-energy
1986.0,UKR,2,non-energy
1986.0,UKR,1,energy
1986.0,URY,3,non-energy
1986.0,USA,4323,non-energy
1986.0,USA,163,energy
1986.0,VNM,3,non-energy
1986.0,ZAF,35,non-energy
1986.0,ZAF,2,energy
1986.0,ZMB,1,non-energy
1987.0,ARE,15,non-energy
1987.0,ARE,2,energy
1987.0,ARG,6,non-energy
1987.0,ARG,1,energy
1987.0,AUS,216,non-energy
1987.0,AUS,5,energy
1987.0,AUT,18,non-energy
1987.0,AUT,1,energy
1987.0,AZE,1,non-energy
1987.0,BEL,77,non-energy
1987.0,BEL,2,energy
1987.0,BFA,1,non-energy
1987.0,BGD,7,non-energy
1987.0,BHR,1,non-energy
1987.0,BLZ,1,non-energy
1987.0,BMU,3,non-energy
1987.0,BRA,89,non-energy
1987.0,BRA,2,energy
1987.0,BRN,1,non-energy
1987.0,BWA,1,non-energy
1987.0,CAN,398,non-energy
1987.0,CAN,37,energy
1987.0,CHE,145,non-energy
1987.0,CHE,8,energy
1987.0,CHL,10,non-energy
1987.0,CHN,83,non-energy
1987.0,CHN,7,energy
1987.0,CMR,1,non-energy
1987.0,COL,7,non-energy
1987.0,CRI,2,non-energy
1987.0,CYP,4,non-energy
1987.0,CZE,6,non-energy
1987.0,DEU,343,non-energy
1987.0,DEU,14,energy
1987.0,DNK,64,non-energy
1987.0,DNK,2,energy
1987.0,DOM,1,non-energy
1987.0,DOM,1,energy
1987.0,ECU,2,non-energy
1987.0,EGY,5,non-energy
1987.0,ESP,161,non-energy
1987.0,ESP,10,energy
1987.0,FIN,49,non-energy
1987.0,FIN,2,energy
1987.0,FRA,317,non-energy
1987.0,FRA,7,energy
1987.0,GBR,663,non-energy
