country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
MDV,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
MEX,energy_and_non_digital,56,1.7857142857142856,3.571428571428571,5.357142857142857,5.357142857142857,3.5904109589041093,5.917465753424658,5.073972602739726,3.1575342465753424,3.7963470319634705,4.182191780821918
MEX,energy_and_digital,33,0.0,0.0,3.0303030303030303,3.0303030303030303,10.64109589041096,4.750684931506849,8.021917808219179,,8.021917808219179,2.7476961394769615
MKD,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,0.915068493150685
MLI,energy_and_non_digital,3,0.0,0.0,0.0,0.0,,,,,,
MLT,energy_and_non_digital,3,0.0,0.0,0.0,0.0,4.2904109589041095,,,,,2.328767123287671
MLT,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,
MMR,energy_and_non_digital,2,0.0,0.0,0.0,0.0,2.254794520547945,,,,,
MMR,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
MNG,energy_and_non_digital,1,100.0,100.0,100.0,100.0,,10.336986301369864,1.3534246575342466,,1.3534246575342466,
MOZ,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
MOZ,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,
MRT,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
MUS,energy_and_non_digital,5,0.0,0.0,0.0,0.0,8.33972602739726,2.2164383561643834,,,,2.2164383561643834
MUS,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
MYS,energy_and_non_digital,78,21.794871794871796,25.64102564102564,34.61538461538461,44.871794871794876,,23.33150684931507,9.21472602739726,2.8575342465753426,9.059672569328432,
MYS,energy_and_digital,24,4.166666666666666,4.166666666666666,4.166666666666666,16.666666666666664,,,18.06678082191781,,18.06678082191781,0.10342465753424658
NAM,energy_and_non_digital,4,25.0,25.0,25.0,25.0,,,,0.6876712328767123,0.6876712328767123,
NCL,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
NGA,energy_and_non_digital,74,0.0,1.3513513513513513,4.054054054054054,6.756756756756757,4.4082191780821915,7.397564687975647,3.3945205479452056,11.765753424657536,10.09150684931507,3.4605022831050234
NGA,energy_and_digital,15,0.0,0.0,0.0,0.0,,3.663013698630137,,,,2.310502283105023
NIC,energy_and_non_digital,2,0.0,0.0,0.0,0.0,,,,,,1.9561643835616438
NLD,energy_and_non_digital,541,0.7393715341959335,1.6635859519408502,3.8817005545286505,6.469500924214418,5.4062852538275585,8.127123287671232,9.702054794520548,13.028150684931507,12.54915578209621,3.7202544031311153
NLD,energy_and_digital,434,0.2304147465437788,0.9216589861751152,1.3824884792626728,2.0737327188940093,5.565648050579558,5.538978829389788,,8.264231354642313,8.264231354642313,2.8095520177711957
NOR,energy_and_non_digital,270,2.2222222222222223,4.814814814814815,10.74074074074074,19.62962962962963,9.289315068493151,5.93089802130898,12.654011741682975,12.938102486047692,12.693764056430178,3.743150684931507
NOR,energy_and_digital,104,0.0,0.9615384615384616,5.769230769230769,9.615384615384617,6.405251141552512,7.481409001956947,4.756164383561644,14.78082191780822,14.112511415525114,3.1027397260273974
NPL,energy_and_non_digital,3,0.0,0.0,0.0,0.0,,,,,,
NZL,energy_and_non_digital,84,1.1904761904761905,3.571428571428571,7.142857142857142,11.904761904761903,6.523287671232877,6.958904109589041,8.944520547945206,15.021917808219177,10.601992528019926,24.424657534246574
NZL,energy_and_digital,22,0.0,0.0,4.545454545454546,4.545454545454546,3.9753424657534246,,27.06986301369863,5.654794520547945,19.931506849315067,2.1342465753424658
OMN,energy_and_non_digital,15,0.0,0.0,0.0,0.0,,,,,,
OMN,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
PAK,energy_and_non_digital,42,0.0,2.380952380952381,4.761904761904762,9.523809523809524,,5.86027397260274,7.935616438356164,11.26849315068493,9.602054794520548,6.284931506849315
PAK,energy_and_digital,5,0.0,0.0,0.0,0.0,,,,,,
PAN,energy_and_non_digital,5,0.0,0.0,0.0,40.0,,,,11.034246575342465,11.034246575342465,
PAN,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
PER,energy_and_non_digital,17,0.0,0.0,0.0,11.76470588235294,,,,17.75068493150685,17.75068493150685,
PER,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,
PHL,energy_and_non_digital,36,2.7777777777777777,5.555555555555555,5.555555555555555,16.666666666666664,,13.706849315068492,10.974794520547945,19.698630136986303,13.467318982387477,
PHL,energy_and_digital,7,0.0,0.0,0.0,0.0,,,,,,1.1643835616438356
POL,energy_and_non_digital,108,1.8518518518518516,2.7777777777777777,3.7037037037037033,7.4074074074074066,0.0,3.8010958904109593,13.994520547945205,9.705753424657534,11.61187214611872,2.2720156555772992
POL,energy_and_digital,42,0.0,0.0,0.0,0.0,3.7479452054794518,1.3232876712328767,23.024657534246575,,23.024657534246575,2.240487062404871
PRI,energy_and_non_digital,3,0.0,0.0,0.0,0.0,,,,,,
PRI,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
PRT,energy_and_non_digital,131,0.0,0.0,0.7633587786259541,2.2900763358778624,1.0246575342465754,5.520547945205479,15.003652968036528,15.346575342465755,13.023287671232877,1.4047945205479453
PRT,energy_and_digital,53,0.0,0.0,0.0,0.0,3.643835616438356,2.058904109589041,,,,4.281506849315068
PSE,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
PSE,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,2.747945205479452
QAT,energy_and_non_digital,10,20.0,20.0,20.0,30.0,,,4.361643835616438,,4.361643835616438,
QAT,energy_and_digital,4,0.0,0.0,0.0,0.0,,,,,,
ROM,energy_and_non_digital,75,0.0,0.0,1.3333333333333335,1.3333333333333335,,,,14.176712328767122,14.176712328767122,2.249315068493151
ROM,energy_and_digital,36,0.0,0.0,0.0,2.7777777777777777,,,,13.512328767123288,13.512328767123288,
RUS,energy_and_non_digital,121,2.479338842975207,5.785123966942149,15.702479338842975,24.793388429752067,9.764383561643836,10.448767123287672,9.233499377334994,7.7020547945205475,8.825114155251141,2.106027397260274
RUS,energy_and_digital,37,0.0,0.0,2.7027027027027026,8.108108108108109,3.4575342465753427,6.935342465753425,14.7013698630137,9.723287671232876,13.042009132420091,4.808447488584474
RWA,energy_and_non_digital,10,0.0,0.0,0.0,0.0,4.2684931506849315,1.5452054794520549,,,,3.9164383561643836
RWA,energy_and_digital,3,0.0,0.0,0.0,0.0,,,,,,3.221917808219178
SAU,energy_and_non_digital,25,4.0,8.0,12.0,16.0,,17.024657534246575,12.315068493150685,4.391780821917808,10.73041095890411,4.536986301369863
SAU,energy_and_digital,8,0.0,0.0,0.0,0.0,3.835616438356164,,,,,0.13835616438356166
SDN,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
