year,country_ISO3,number_of_deals,raised_amount_usd,sector
2000,AFG,1,16136363.636363635,non-energy
2000,ARE,1,24204545.454545453,non-energy
2000,ARG,5,169431818.1818182,non-energy
2000,ARM,1,1613636.3636363635,non-energy
2000,AUS,7,205657954.54545453,non-energy
2000,AZE,1,9245150.431818182,non-energy
2000,BRA,8,140287513.88636363,non-energy
2000,CAN,41,808214816.3636363,non-energy
2000,CHE,4,118234223.25,non-energy
2000,CHL,4,43568181.81818181,non-energy
2000,CHN,36,258278796.11363634,non-energy
2000,CZE,1,19363636.363636363,non-energy
2000,DEU,18,473088736.1818181,non-energy
2000,DNK,1,6454545.454545454,non-energy
2000,ESP,3,18815290.454545453,non-energy
2000,FIN,2,26392550.84090909,non-energy
2000,FRA,19,205076075.65909088,non-energy
2000,FRA,1,8713636.363636363,energy
2000,GBR,36,629120154.75,non-energy
2000,HKG,1,8229545.454545454,non-energy
2000,HRV,1,3227272.727272727,non-energy
2000,IDN,1,35500000.0,non-energy
2000,IND,8,156859919.18181816,non-energy
2000,IRL,6,63693753.06818181,non-energy
2000,ISR,15,145705899.86363634,non-energy
2000,ITA,1,2193409.454545454,non-energy
2000,JPN,9,73626859.61363636,non-energy
2000,KOR,1,24204545.454545453,non-energy
2000,LKA,1,4034090.9090909087,non-energy
2000,LUX,1,32272727.27272727,non-energy
2000,MEX,1,6454545.454545454,non-energy
2000,MYS,2,17750000.0,non-energy
2000,NGA,1,9681818.181818182,non-energy
2000,NLD,5,89372874.93181817,non-energy
2000,NZL,2,28238636.363636363,non-energy
2000,RUS,3,16943181.818181816,non-energy
2000,SGP,3,76250027.22727272,non-energy
2000,SWE,5,151554883.09090906,non-energy
2000,THA,1,8068181.818181817,non-energy
2000,TTO,1,8068181.818181817,non-energy
2000,TWN,1,16136363.636363635,non-energy
2000,UKR,1,49699999.99999999,non-energy
2000,USA,1401,36248407322.52273,non-energy
2000,USA,14,555332954.5454545,energy
2001,ARG,2,39162242.647058815,non-energy
2001,AUS,2,2372390.8676470583,non-energy
2001,AUT,1,59514705.88235293,non-energy
2001,BEL,5,10161680.272058822,non-energy
2001,BRA,2,145440296.64705878,non-energy
2001,CAN,36,794530527.9485292,non-energy
2001,CAN,1,3288970.5882352935,energy
2001,CHE,4,33456179.382352933,non-energy
2001,CHL,1,3288970.5882352935,non-energy
2001,CHN,22,1684442440.2352936,non-energy
