year,country_ISO3,number_of_deals,raised_amount_usd,sector
2000,FRA,1,8713636.363636363,energy_and_non_digital
2000,USA,5,296102272.7272727,energy_and_non_digital
2000,USA,9,259230681.8181818,energy_and_digital
2001,CAN,1,3288970.5882352935,energy_and_digital
2001,CHN,4,44073017.161764696,energy_and_digital
2001,USA,7,201253676.4705882,energy_and_non_digital
2001,USA,9,134847794.11764705,energy_and_digital
2002,CAN,1,8195869.565217391,energy_and_non_digital
2002,FRA,1,471449.2608695652,energy_and_digital
2002,IRL,1,8245091.0869565215,energy_and_non_digital
2002,USA,16,137221391.3043478,energy_and_non_digital
2002,USA,11,68554497.60869564,energy_and_digital
2003,CAN,1,861063.8297872341,energy_and_digital
2003,FRA,1,10574468.085106382,energy_and_non_digital
2003,GBR,1,9069633.659574468,energy_and_non_digital
2003,GBR,1,25680851.063829787,energy_and_digital
2003,GHA,1,1510.6382978723404,energy_and_digital
2003,USA,17,277103936.17021275,energy_and_non_digital
2003,USA,16,167546852.91489363,energy_and_digital
2004,CAN,2,1836206.896551724,energy_and_non_digital
2004,CHN,1,532451.524137931,energy_and_digital
2004,DEU,1,10681625.358620688,energy_and_digital
2004,FRA,1,4297875.8068965515,energy_and_non_digital
2004,FRA,1,358282.15862068965,energy_and_digital
2004,GBR,1,19467751.96551724,energy_and_non_digital
2004,GBR,1,10566539.255172413,energy_and_digital
2004,IRL,1,3691464.8068965515,energy_and_non_digital
2004,USA,24,251196041.3793103,energy_and_non_digital
2004,USA,27,350787496.5517241,energy_and_digital
2005,CAN,2,3602416.1073825504,energy_and_non_digital
2005,CAN,2,11556345.02013423,energy_and_digital
2005,CHN,1,13823238.261744967,energy_and_non_digital
2005,CHN,1,518231.85906040267,energy_and_digital
2005,DEU,2,34481374.912751675,energy_and_digital
2005,DNK,1,15524697.986577181,energy_and_digital
2005,FRA,2,4408876.993288591,energy_and_digital
2005,GBR,3,15520102.046979867,energy_and_digital
2005,UKR,1,71476.5100671141,energy_and_non_digital
2005,USA,27,495778518.38255036,energy_and_non_digital
2005,USA,24,255883677.40268457,energy_and_digital
2006,CAN,2,8229545.454545455,energy_and_non_digital
2006,CAN,3,4737175.324675324,energy_and_digital
2006,CHN,2,51175324.67532468,energy_and_digital
2006,DEU,1,3156387.525974026,energy_and_digital
2006,ESP,1,4283644.383116883,energy_and_digital
2006,FRA,2,17842207.792207792,energy_and_non_digital
2006,GBR,5,27266130.0,energy_and_non_digital
2006,GBR,5,11647696.149350649,energy_and_digital
2006,IND,1,27662337.66233766,energy_and_non_digital
2006,IRL,1,2780064.935064935,energy_and_digital
2006,ISR,2,11064935.064935064,energy_and_non_digital
2006,ROM,1,691558.4415584416,energy_and_non_digital
2006,SWE,1,781461.0389610389,energy_and_digital
2006,USA,55,879663457.987013,energy_and_non_digital
2006,USA,36,800027919.7792208,energy_and_digital
2007,AUS,2,11274206.547169808,energy_and_non_digital
2007,BEL,1,264349.0754716981,energy_and_digital
2007,CAN,4,26643640.8490566,energy_and_non_digital
2007,CAN,3,51797987.03773584,energy_and_digital
2007,CHN,3,20609222.245283015,energy_and_non_digital
2007,CHN,2,5745559.79245283,energy_and_digital
2007,DEU,1,17324999.358490564,energy_and_digital
2007,FRA,2,9073264.150943395,energy_and_non_digital
2007,FRA,2,11642825.150943395,energy_and_digital
2007,GBR,2,43683346.132075466,energy_and_non_digital
2007,GBR,2,24319928.735849053,energy_and_digital
2007,ISR,2,29238603.773584902,energy_and_non_digital
2007,ISR,3,30945283.01886792,energy_and_digital
2007,NOR,1,80377358.49056603,energy_and_non_digital
2007,SGP,1,401886.7924528301,energy_and_digital
2007,USA,106,2576701771.415094,energy_and_non_digital
2007,USA,64,1052241133.8867923,energy_and_digital
2008,AUS,1,508944.78181818186,energy_and_digital
2008,BEL,1,881817.4181818182,energy_and_digital
2008,BLR,1,1290909.090909091,energy_and_digital
2008,CAN,2,23236363.636363637,energy_and_non_digital
2008,CAN,4,48058797.56363636,energy_and_digital
2008,CHE,1,1237327.3272727274,energy_and_digital
2008,CHN,8,443134823.72727275,energy_and_non_digital
2008,CHN,6,62205956.78181818,energy_and_digital
2008,DEU,4,128553776.01818182,energy_and_non_digital
2008,DEU,6,49093645.8,energy_and_digital
2008,DNK,1,20654545.454545457,energy_and_digital
2008,FIN,1,9571207.927272728,energy_and_non_digital
2008,FRA,4,25374915.909090914,energy_and_non_digital
