year,country_ISO3,technology_field,number_of_companies
1981.0,ESP,Solar,1.5
1981.0,FRA,Fossil Fuels,1.0
1981.0,FRA,Grid,3.0
1981.0,FRA,Other Energy,0.5
1981.0,FRA,Other Renewables,0.5
1981.0,FRA,Solar,1.0
1981.0,GBR,Energy Efficiency,3.0
1981.0,GBR,Fossil Fuels,1.5
1981.0,GBR,Grid,2.0
1981.0,GBR,Other Energy,3.5
1981.0,GRC,Solar,1.0
1981.0,HKG,Grid,1.0
1981.0,HKG,Other Energy,1.0
1981.0,IDN,Fossil Fuels,1.0
1981.0,IDN,Other Energy,1.0
1981.0,IND,Energy Efficiency,1.0
1981.0,IND,Grid,1.0
1981.0,IND,Other Energy,2.5
1981.0,IND,Other Renewables,0.5
1981.0,IRL,Fossil Fuels,0.5
1981.0,IRL,Grid,1.0
1981.0,IRL,Other Energy,0.5
1981.0,ITA,Grid,1.0
1981.0,ITA,Solar,1.0
1981.0,JPN,Energy Efficiency,1.0
1981.0,JPN,Hybrid and Electric mobility,1.0
1981.0,KOR,Energy Efficiency,1.0
1981.0,MYS,Fossil Fuels,0.5
1981.0,MYS,Other Energy,0.5
1981.0,NLD,Energy Efficiency,0.5
1981.0,NLD,Fossil Fuels,1.0
1981.0,NLD,Hybrid and Electric mobility,1.0
1981.0,NLD,Other Energy,1.0
1981.0,NLD,Solar,0.5
1981.0,NOR,Energy Efficiency,2.0
1981.0,NOR,Fossil Fuels,1.0
1981.0,NOR,Other Energy,1.0
1981.0,NZL,Fossil Fuels,0.5
1981.0,NZL,Other Energy,0.5
1981.0,PRT,Other Energy,0.5
1981.0,PRT,Solar,0.5
1981.0,SGP,Energy Efficiency,1.0
1981.0,SWE,Fossil Fuels,0.5
1981.0,SWE,Other Energy,2.5
1981.0,THA,Energy Efficiency,0.3333333333333333
1981.0,THA,Grid,0.3333333333333333
1981.0,THA,Other Energy,0.3333333333333333
1981.0,THA,Solar,1.0
1981.0,TWN,Grid,1.0
1981.0,TWN,Solar,1.0
1981.0,USA,Energy Efficiency,12.0
1981.0,USA,Fossil Fuels,19.333333333333332
1981.0,USA,Grid,19.0
1981.0,USA,Hybrid and Electric mobility,1.0
1981.0,USA,Other Energy,28.666666666666668
1981.0,USA,Other Renewables,9.5
1981.0,USA,Solar,7.166666666666667
1981.0,USA,Storage (not electromobility),2.333333333333333
1981.0,ZAF,Fossil Fuels,1.0
1981.0,ZAF,Other Energy,1.0
1982.0,ARE,Fossil Fuels,0.5
1982.0,ARE,Other Energy,0.5
1982.0,AUS,Energy Efficiency,1.0
1982.0,AUS,Fossil Fuels,1.5
1982.0,AUS,Other Energy,1.5
1982.0,BEL,Other Energy,2.0
1982.0,BIH,Grid,1.0
1982.0,CAN,Energy Efficiency,2.0
1982.0,CAN,Fossil Fuels,3.6666666666666665
1982.0,CAN,Grid,5.0
1982.0,CAN,Other Energy,7.166666666666667
1982.0,CAN,Other Renewables,0.6666666666666666
1982.0,CAN,Solar,0.5
1982.0,CHE,Energy Efficiency,1.5
1982.0,CHE,Fossil Fuels,1.0
1982.0,CHE,Grid,1.0
1982.0,CHE,Other Energy,2.5
1982.0,CHE,Solar,1.0
1982.0,CHN,Fossil Fuels,1.5
1982.0,CHN,Grid,0.3333333333333333
1982.0,CHN,Other Energy,1.8333333333333333
1982.0,CHN,Other Renewables,0.3333333333333333
1982.0,DEU,Energy Efficiency,2.0
1982.0,DEU,Fossil Fuels,0.5
1982.0,DEU,Grid,1.0
1982.0,DEU,Other Energy,6.5
1982.0,DEU,Other Renewables,1.0
1982.0,DEU,Solar,2.0
1982.0,DNK,Fossil Fuels,1.0
1982.0,DNK,Other Energy,2.0
1982.0,ESP,Energy Efficiency,0.75
1982.0,ESP,Fossil Fuels,0.25
1982.0,ESP,Grid,3.0
1982.0,ESP,Other Energy,1.75
1982.0,ESP,Solar,0.25
1982.0,FRA,Energy Efficiency,1.0
1982.0,FRA,Other Energy,4.5
1982.0,FRA,Solar,0.5
1982.0,GBR,Energy Efficiency,1.0
1982.0,GBR,Fossil Fuels,2.5
1982.0,GBR,Grid,1.0
1982.0,GBR,Nuclear,0.5
1982.0,GBR,Other Energy,4.833333333333333
1982.0,GBR,Other Renewables,3.6666666666666665
1982.0,GBR,Solar,0.5
1982.0,GBR,Storage (not electromobility),1.0
1982.0,GRC,Energy Efficiency,1.0
1982.0,GRC,Fossil Fuels,1.0
1982.0,GRC,Other Energy,1.5
1982.0,GRC,Solar,1.5
1982.0,HKG,Other Energy,1.5
1982.0,HKG,Solar,0.5
1982.0,IND,Grid,1.0
1982.0,IND,Hybrid and Electric mobility,1.0
1982.0,IND,Other Energy,4.333333333333333
1982.0,IND,Other Renewables,1.0
1982.0,IND,Storage (not electromobility),0.6666666666666666
1982.0,IRL,Energy Efficiency,1.25
1982.0,IRL,Grid,0.25
1982.0,IRL,Other Energy,0.25
1982.0,IRL,Solar,0.25
1982.0,ITA,Bioenergy,0.3333333333333333
1982.0,ITA,Grid,3.0
1982.0,ITA,Other Energy,2.3333333333333335
1982.0,ITA,Other Renewables,1.3333333333333333
1982.0,ITA,Storage (not electromobility),1.0
1982.0,JPN,Energy Efficiency,1.3333333333333333
1982.0,JPN,Fossil Fuels,0.3333333333333333
1982.0,JPN,Other Energy,2.8333333333333335
1982.0,JPN,Solar,0.5
1982.0,KOR,Fossil Fuels,1.0
1982.0,KOR,Grid,1.0
1982.0,KOR,Other Energy,1.0
1982.0,KOR,Storage (not electromobility),1.0
1982.0,MYS,Fossil Fuels,0.5
1982.0,MYS,Other Energy,0.5
1982.0,NGA,Fossil Fuels,1.0
1982.0,NLD,Fossil Fuels,1.0
1982.0,NLD,Other Energy,1.0
1982.0,NOR,Fossil Fuels,1.5
1982.0,NOR,Other Energy,0.5
1982.0,NZL,Grid,1.0
1982.0,POL,Other Energy,0.3333333333333333
1982.0,POL,Other Renewables,0.6666666666666666
1982.0,PRT,Energy Efficiency,0.6666666666666666
1982.0,PRT,Other Energy,1.8333333333333333
1982.0,PRT,Solar,0.5
1982.0,SGP,Other Energy,1.0
1982.0,SWE,Energy Efficiency,0.5
1982.0,SWE,Fossil Fuels,0.5
1982.0,SWE,Grid,2.0
1982.0,SWE,Other Energy,1.0
1982.0,SWE,Other Renewables,2.0
1982.0,THA,Other Energy,0.5
1982.0,THA,Solar,0.5
1982.0,TUR,Energy Efficiency,1.0
1982.0,TUR,Other Energy,1.0
1982.0,TWN,Energy Efficiency,1.0
1982.0,TWN,Grid,1.0
1982.0,UKR,Fossil Fuels,1.0
1982.0,USA,Energy Efficiency,21.5
1982.0,USA,Fossil Fuels,27.5
1982.0,USA,Grid,18.833333333333332
1982.0,USA,Hybrid and Electric mobility,2.0
1982.0,USA,Nuclear,1.0
1982.0,USA,Other Energy,29.333333333333332
1982.0,USA,Other Renewables,19.166666666666668
1982.0,USA,Solar,2.3333333333333335
1982.0,USA,Storage (not electromobility),1.0
1982.0,USA,Wind,0.3333333333333333
1983.0,AUS,Fossil Fuels,1.0
1983.0,AUS,Other Energy,1.0
1983.0,AUS,Other Renewables,1.0
1983.0,BEL,Energy Efficiency,1.0
1983.0,BEL,Fossil Fuels,2.0
1983.0,BEL,Solar,1.0
1983.0,CAN,Energy Efficiency,2.333333333333333
1983.0,CAN,Fossil Fuels,8.333333333333334
1983.0,CAN,Grid,3.0
1983.0,CAN,Other Energy,8.333333333333334
1983.0,CAN,Other Renewables,1.0
1983.0,CAN,Solar,0.5
1983.0,CAN,Wind,0.5
1983.0,CHE,Energy Efficiency,0.3333333333333333
1983.0,CHE,Fossil Fuels,2.0
1983.0,CHE,Grid,0.3333333333333333
1983.0,CHE,Other Energy,2.5
1983.0,CHE,Other Renewables,0.3333333333333333
1983.0,CHE,Solar,1.1666666666666665
1983.0,CHE,Storage (not electromobility),1.3333333333333333
1983.0,CHN,Fossil Fuels,1.0
1983.0,CHN,Other Energy,1.0
1983.0,CIV,Grid,0.3333333333333333
1983.0,CIV,Other Energy,0.3333333333333333
1983.0,CIV,Storage (not electromobility),0.3333333333333333
1983.0,DEU,Fossil Fuels,1.0
1983.0,DEU,Grid,1.5
1983.0,DEU,Other Energy,0.5
1983.0,DEU,Other Renewables,1.0
1983.0,DNK,Grid,1.0
1983.0,EGY,Fossil Fuels,0.5
1983.0,EGY,Other Energy,0.5
1983.0,ESP,Fossil Fuels,1.0
1983.0,ESP,Grid,1.0
1983.0,ESP,Other Energy,1.5
1983.0,ESP,Solar,0.5
1983.0,FRA,Energy Efficiency,1.0
1983.0,FRA,Other Renewables,2.0
1983.0,GBR,Energy Efficiency,3.833333333333333
1983.0,GBR,Fossil Fuels,6.0
1983.0,GBR,Grid,3.5
1983.0,GBR,Hybrid and Electric mobility,1.0
1983.0,GBR,Other Energy,8.333333333333334
1983.0,GBR,Other Renewables,4.5
1983.0,GBR,Solar,0.8333333333333333
1983.0,GRC,Fossil Fuels,1.0
1983.0,HKG,Other Energy,1.0
1983.0,IDN,Fossil Fuels,2.0
1983.0,IND,Fossil Fuels,2.3333333333333335
1983.0,IND,Grid,2.0
1983.0,IND,Other Energy,2.3333333333333335
1983.0,IND,Other Renewables,1.0
1983.0,IND,Solar,2.0
1983.0,IND,Wind,0.3333333333333333
1983.0,ISR,Fossil Fuels,1.0
1983.0,ITA,Energy Efficiency,1.5
1983.0,ITA,Grid,1.0
1983.0,ITA,Other Energy,2.5
1983.0,ITA,Other Renewables,1.0
1983.0,JPN,Energy Efficiency,1.0
1983.0,JPN,Fossil Fuels,0.5
1983.0,JPN,Other Energy,1.5
1983.0,JPN,Other Renewables,1.0
1983.0,KEN,Other Energy,1.0
1983.0,KOR,Energy Efficiency,1.0
1983.0,KOR,Fossil Fuels,1.0
1983.0,KOR,Other Energy,1.0
1983.0,KOR,Other Renewables,1.0
1983.0,KWT,Fossil Fuels,1.0
1983.0,MLT,Fossil Fuels,0.3333333333333333
1983.0,MLT,Grid,0.3333333333333333
1983.0,MLT,Other Energy,0.3333333333333333
1983.0,NGA,Fossil Fuels,1.0
1983.0,NLD,Energy Efficiency,1.0
1983.0,NLD,Other Energy,1.0
1983.0,NOR,Other Energy,0.3333333333333333
1983.0,NOR,Solar,0.3333333333333333
1983.0,NOR,Wind,0.3333333333333333
1983.0,NZL,Energy Efficiency,1.0
1983.0,NZL,Other Energy,1.0
1983.0,OMN,Fossil Fuels,1.0
1983.0,PAK,Fossil Fuels,0.6666666666666666
1983.0,PAK,Hybrid and Electric mobility,1.0
1983.0,PAK,Other Energy,0.3333333333333333
1983.0,PER,Fossil Fuels,1.0
1983.0,PER,Grid,0.3333333333333333
1983.0,PER,Other Energy,0.3333333333333333
1983.0,PER,Other Renewables,0.3333333333333333
1983.0,PRT,Fossil Fuels,0.5
1983.0,PRT,Other Energy,0.5
1983.0,PRT,Solar,1.0
1983.0,ROM,Fossil Fuels,1.0
1983.0,SAU,Fossil Fuels,0.5
1983.0,SAU,Other Energy,0.5
1983.0,SGP,Energy Efficiency,1.0
1983.0,SGP,Fossil Fuels,1.5
1983.0,SGP,Other Energy,1.5
1983.0,SVK,Other Renewables,1.0
1983.0,SWE,Energy Efficiency,1.6666666666666665
1983.0,SWE,Fossil Fuels,1.1666666666666665
1983.0,SWE,Grid,2.0
1983.0,SWE,Other Energy,1.1666666666666665
1983.0,THA,Fossil Fuels,2.0
1983.0,THA,Other Energy,1.0
1983.0,TTO,Other Energy,0.5
1983.0,TTO,Solar,0.5
1983.0,TUR,Fossil Fuels,0.5
1983.0,TUR,Other Energy,0.5
1983.0,TWN,Fossil Fuels,0.5
1983.0,TWN,Grid,1.0
1983.0,TWN,Other Energy,0.5
1983.0,TWN,Storage (not electromobility),1.0
1983.0,USA,Bioenergy,0.3333333333333333
1983.0,USA,Energy Efficiency,22.833333333333332
1983.0,USA,Fossil Fuels,26.833333333333332
1983.0,USA,Grid,21.166666666666668
1983.0,USA,Hydrogen and Fuel Cells,0.5
1983.0,USA,Other Energy,33.333333333333336
1983.0,USA,Other Renewables,11.0
1983.0,USA,Solar,4.0
1984.0,ARE,Fossil Fuels,2.5
1984.0,ARE,Other Energy,1.5
1984.0,ARG,Fossil Fuels,1.0
1984.0,AUS,Energy Efficiency,1.0
1984.0,AUS,Fossil Fuels,3.1666666666666665
1984.0,AUS,Grid,1.0
1984.0,AUS,Other Energy,3.3333333333333335
1984.0,AUS,Solar,0.5
1984.0,AUT,Fossil Fuels,1.0
1984.0,BEL,Grid,1.0
1984.0,BEL,Solar,1.0
